av_odd_h,av_odd_d,av_odd_g,av_prob_h,av_prob_d,av_prob_g,av_back,bf_odd_h,bf_odd_d,bf_odd_g,bf_prob_h,bf_prob_d,bf_prob_g,bf_back,volume_h,volume_d,volume_g,vol_ratio_h,vol_ratio_d,vol_ratio_g,shui_h,pan,shui_g,profit_h,profit_d,profit_g,pf_idx_h,pf_idx_d,pf_idx_g,hot_idx_h,hot_idx_d,hot_idx_g,qj,qs,kwin,win_cv_0,draw_cv_0,lost_cv_0,win_cv_9,draw_cv_9,lost_cv_9
1.74,3.56,5.06,54.59,26.66,18.76,94.95,1.78,3.8,5.8,56.33,26.39,17.29,100.27,1472938.0,235944.0,168826.0,78.4,12.6,9.0,0.775,0.5,1.075,-744122.0,981121.0,898517.0,-40.0,52.0,48.0,44.0,-53.0,-52.0,0.0,0.0,1.0,4.462,6.907,9.944,2.854,3.434,7.326
1.58,4.19,5.6,60.24,22.75,17.0,95.21,1.63,4.6,6.2,61.83,21.91,16.26,100.78,1131776.0,129368.0,136372.0,81.0,9.3,9.8,0.95,0.75,0.9,-447279.0,802423.0,552010.0,-32.0,57.0,39.0,34.0,-59.0,-43.0,0.0,3.0,0.0,3.792,5.274,10.51,5.686,7.548,11.185
2.09,3.36,3.63,45.56,28.26,26.18,95.09,2.16,3.45,4.0,46.17,28.9,24.93,99.73,541219.0,120161.0,67417.0,74.3,16.5,9.3,0.875,0.25,0.975,-440236.0,314242.0,459129.0,-60.0,43.0,63.0,63.0,-42.0,-65.0,1.0,1.0,1.0,2.26,3.324,8.966,5.823,3.555,9.559
2.23,3.28,3.36,42.68,29.01,28.31,95.05,2.3,3.45,3.65,43.54,29.03,27.44,100.14,319763.0,282565.0,133010.0,43.5,38.4,18.1,0.975,0.25,0.875,-117.0,-239511.0,249852.0,0.0,-33.0,34.0,2.0,32.0,-36.0,1.0,2.0,0.0,2.544,3.315,7.07,7.032,4.271,8.943
1.09,10.5,27.09,87.44,9.05,3.51,95.05,1.1,14.5,42.0,90.74,6.88,2.38,99.81,8495359.0,261112.0,101309.0,95.9,2.9,1.1,0.825,3.0,1.025,-487115.0,5071656.0,4602802.0,-6.0,57.0,52.0,10.0,-67.0,-68.0,3.0,0.0,3.0,1.521,26.846,25.072,1.402,16.055,26.661
1.75,3.58,4.91,54.15,26.53,19.32,94.92,1.83,3.75,5.3,54.55,26.62,18.83,99.83,243986.0,63805.0,49751.0,68.2,17.8,13.9,0.825,0.5,1.025,-88952.0,118273.0,93862.0,-25.0,33.0,26.0,26.0,-33.0,-28.0,1.0,2.0,0.0,3.458,4.643,11.397,3.131,3.872,6.054
4.41,3.79,1.78,21.54,25.09,53.37,95.04,4.8,4.2,1.82,20.92,23.91,55.17,100.42,267997.0,270449.0,1708592.0,11.9,12.0,76.0,0.825,-0.5,1.025,960652.0,1111152.0,-862600.0,43.0,49.0,-38.0,-45.0,-52.0,42.0,1.0,4.0,0.0,6.746,4.674,3.206,9.968,6.182,7.014
1.18,7.06,14.5,80.03,13.43,6.53,94.76,1.21,8.6,18.0,82.79,11.65,5.57,100.18,7377817.0,276745.0,181284.0,94.2,3.5,2.3,1.05,2.5,0.8,-1091313.0,5455839.0,4572734.0,-14.0,70.0,58.0,18.0,-74.0,-65.0,2.0,0.0,3.0,1.818,11.715,17.393,1.524,9.828,15.873
3.43,3.21,2.23,27.76,29.61,42.62,95.09,3.65,3.5,2.3,27.55,28.73,43.72,100.56,551936.0,642306.0,2826754.0,13.7,16.0,70.3,0.975,-0.25,0.875,2006430.0,1772925.0,-2480538.0,50.0,44.0,-62.0,-51.0,-46.0,65.0,1.0,1.0,1.0,4.016,6.242,6.621,5.803,3.7,4.411
1.68,3.7,5.37,56.6,25.71,17.69,95.05,1.69,3.95,6.4,59.1,25.29,15.61,99.88,993870.0,241866.0,109738.0,73.9,18.0,8.2,1.1,0.75,0.75,-334166.0,390103.0,643151.0,-25.0,29.0,48.0,31.0,-30.0,-54.0,2.0,1.0,3.0,2.409,5.246,9.844,2.839,4.476,8.732
