gid,gset,mplay,mtid,gplay,gtid,qj,qs,qr,kend,kwin,kwinrq,tweek,tplay,tsell,cid,pwin9,pdraw9,plost9,kwin_sta
609784,葡超,摩雷伦斯,1110,里斯本,1000,2,3,0,1,0,-1,0,2017-02-13,2017-02-13 00:55:00,1,7.65,4.15,1.32,0
628811,墨西联,托卢卡,1887,韦拉克鲁,1885,1,0,0,1,3,-1,0,2017-02-13,2017-02-13 00:55:00,1,1.35,4.2,6.65,3
610610,意甲,卡利亚,917,尤文,1330,0,2,0,1,0,-1,0,2017-02-13,2017-02-13 00:55:00,1,10.5,5.35,1.18,0
607049,西甲,马竞技,1046,塞尔塔,457,3,2,0,1,3,-1,0,2017-02-13,2017-02-13 00:55:00,1,1.2,4.85,11.2,3
632923,智甲,科洛科,1814,奥达科斯,2219,4,0,0,1,3,-1,0,2017-02-13,2017-02-13 00:55:00,1,1.33,4.6,6.25,3
581456,澳超,西悉尼,7014,中央海,3616,0,2,0,1,0,-1,0,2017-02-12,2017-02-12 13:55:00,1,1.25,4.9,8.0,3
610613,意甲,克罗托,243,罗马,1032,0,2,0,1,0,-1,0,2017-02-12,2017-02-12 19:25:00,1,10.0,5.28,1.19,0
630281,巴圣锦,巴红牛,7689,桑托斯,472,2,3,0,1,0,-1,0,2017-02-12,2017-02-12 20:55:00,1,7.05,4.25,1.33,0
572966,英超,伯恩利,700,切尔西,1173,1,1,0,1,1,-1,0,2017-02-12,2017-02-12 21:25:00,1,8.4,4.5,1.27,0
575958,荷甲,阿贾克,540,鹿特丹,518,2,0,0,1,3,-1,0,2017-02-12,2017-02-12 21:25:00,1,1.07,7.25,17.5,3
573307,比甲,安德莱,590,聚尔特,436,4,2,0,1,3,-1,0,2017-02-12,2017-02-12 21:25:00,1,1.35,4.35,6.3,3
610612,意甲,都灵,776,佩斯卡,1156,5,3,0,1,3,-1,0,2017-02-12,2017-02-12 21:55:00,1,1.25,4.9,8.0,3
610608,意甲,国米,846,恩波利,788,2,0,0,1,3,-1,0,2017-02-12,2017-02-12 21:55:00,1,1.16,5.42,12.0,3
634265,苏足总杯,流浪者,827,摩顿,3542,2,1,0,1,3,-1,0,2017-02-12,2017-02-12 22:55:00,1,1.15,5.91,11.0,3
575960,荷甲,埃因霍,378,乌德勒,1275,3,0,0,1,3,-1,0,2017-02-12,2017-02-12 23:40:00,1,1.19,5.35,9.75,3
607048,西甲,毕尔巴,690,拉科鲁,959,2,1,0,1,3,-1,6,2017-02-12,2017-02-12 00:55:00,1,1.45,3.75,5.8,3
575956,荷甲,费耶诺,801,格罗宁,834,2,0,0,1,3,-1,6,2017-02-12,2017-02-12 00:55:00,1,1.13,6.0,13.0,3
574021,法甲,摩纳哥,1105,梅斯,1084,5,0,0,1,3,-1,6,2017-02-12,2017-02-12 00:55:00,1,1.09,6.8,15.5,3
573308,比甲,沙勒罗,742,韦斯特,1264,2,1,0,1,3,-1,6,2017-02-12,2017-02-12 00:55:00,1,1.4,3.92,6.25,3
573309,比甲,根特,839,欧本,2100,0,1,0,1,0,-1,6,2017-02-12,2017-02-12 00:55:00,1,1.21,4.95,10.0,3
607055,西甲,奥萨苏,622,皇马,883,1,3,0,1,0,-1,6,2017-02-12,2017-02-12 00:55:00,1,13.75,6.8,1.1,0
609783,葡超,吉马良,893,波尔图,694,0,2,0,1,0,-1,6,2017-02-12,2017-02-12 00:55:00,1,7.0,4.0,1.36,0
630285,巴圣锦,科林蒂,1572,圣安德,2204,0,2,0,1,0,-1,6,2017-02-12,2017-02-12 00:55:00,1,1.2,4.8,11.5,3
628810,墨西联,美洲队,533,普埃布,1899,0,0,0,1,1,-1,6,2017-02-12,2017-02-12 10:55:00,1,1.41,4.0,5.9,3
631904,日新杯,鹿儿岛联,7282,磐田,1151,1,1,0,1,1,-1,6,2017-02-11,2017-02-11 12:55:00,1,6.0,3.75,1.44,0
572964,英超,阿森纳,554,赫尔城,872,2,0,0,1,3,-1,6,2017-02-11,2017-02-11 20:25:00,1,1.15,5.77,11.5,3
596340,德甲,因戈尔,2918,拜仁,664,0,2,0,1,0,-1,6,2017-02-11,2017-02-11 22:25:00,1,9.1,4.7,1.24,0
596342,德甲,莱比锡,970,汉堡,860,0,3,0,1,0,-1,6,2017-02-11,2017-02-11 22:25:00,1,1.41,3.9,6.1,3
596338,德甲,达姆施,1926,多特,786,2,1,0,1,3,-1,6,2017-02-11,2017-02-11 22:25:00,1,9.3,5.3,1.2,0
572968,英超,曼联,1075,沃特福,1274,2,0,0,1,3,-1,6,2017-02-11,2017-02-11 22:55:00,1,1.13,5.9,13.5,3
577886,英冠,布赖顿,721,伯顿,2351,4,1,0,1,3,-1,6,2017-02-11,2017-02-11 22:55:00,1,1.29,4.3,8.2,3
